BKTXT,TCODE,AEDAT,VGART,FLS_RSTO,MANDT,EXNUM,BLA2D,GTS_CUSREF_NO,USNAM,MSR_ACTIVE,CPUTM,TCODE2,BLAUM,MJAHR,CPUDT,LE_VBELN,XABLN,SPE_BUDAT_ZONE,WEVER,SPE_MDNUM_EWM,AWSYS,KNUMV,SPE_BUDAT_UHR,MBLNR,BLART,BLDAT,BUDAT,FRBNR,XCOMPL,FRATH,BFWMS,XBLNR,SPE_LOGSYS,LAST_UPDATED_DT_TS
                         ,    ,null,WA, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:21:45.000Z,MB1A                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308844,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,10180       , ,1970-01-01T06:22:03.000Z,MIGO_TR             ,PR,2023,2023-07-04,          ,          ,      ,3,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308684,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:13.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304253,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:23.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304254,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:33.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304255,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:42.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304256,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,10180       , ,1970-01-01T06:22:48.000Z,MIGO_TR             ,PR,2023,2023-07-04,          ,          ,      ,3,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308845,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:52.000Z,MB1C                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308855,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,51000248    , ,1970-01-01T06:22:58.000Z,MB1A                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308856,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WL, ,900,          ,  ,                                   ,BGDUSER     , ,1970-01-01T06:23:18.000Z,VL02N               ,PR,2023,2023-07-04,8207249649,          ,INDIA , ,                ,ECPCLNT900,          ,1970-01-01T06:23:18.000Z,4958308857,WL,2023-07-02,2023-07-04,                ,,0.00,2,8207249649      ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,10165       , ,1970-01-01T06:24:11.000Z,MIGO_TR             ,PR,2023,2023-07-04,          ,          ,      ,3,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308812,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,14703       , ,1970-01-01T06:24:51.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304175,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WA, ,900,          ,  ,                                   ,10016       , ,1970-01-01T06:24:56.000Z,MB1B                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,4958308813,WA,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WL, ,900,          ,  ,                                   ,BGDUSER     , ,1970-01-01T06:25:25.000Z,VL02N               ,PR,2023,2023-07-04,8207249651,          ,INDIA , ,                ,ECPCLNT900,          ,1970-01-01T06:25:25.000Z,4958308846,WL,2023-07-02,2023-07-04,                ,,0.00,2,8207249651      ,          ,2023-07-04 10:11:47.947797
                         ,    ,null,WF, ,900,          ,  ,                                   ,9599        , ,1970-01-01T06:25:55.000Z,MB31                ,PR,2023,2023-07-04,          ,          ,      ,2,                ,ECPCLNT900,          ,1970-01-01T00:00:00.000Z,5018304219,WE,2023-07-04,2023-07-04,                ,,0.00, ,                ,          ,2023-07-04 10:11:47.947797
